image_name,"labels"
18_em_0.bmp,"x _ { k } x x _ { k } + y _ { k } y x _ { k }"
18_em_10.bmp,"2 6"
18_em_11.bmp,"q _ { t } = 2 q"
18_em_12.bmp,"\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } }"
18_em_13.bmp,"4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 }"
18_em_14.bmp,"\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } }"
18_em_15.bmp,"k = 1 0 0 0 0 0 0 0 0 0"
18_em_16.bmp,"m \geq 2"
18_em_17.bmp,"u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) }"
18_em_18.bmp,"\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 }"
18_em_19.bmp,"y \neq x"
18_em_1.bmp,"\sqrt { 4 8 }"
18_em_20.bmp,"\frac { 1 } { p } + \frac { 1 } { q } = 1"
18_em_21.bmp,"1 0 1 1 1 1 1 0 1 1 1 0 0 1 0 1 _ { 2 }"
18_em_22.bmp,"p _ { 1 } ^ { \gamma _ { 1 } } p _ { 2 } ^ { \gamma _ { 2 } } \cdots p _ { n } ^ { \gamma _ { n } }"
18_em_23.bmp,"\frac { 1 8 \div 6 } { 2 4 \div 6 } = \frac { 3 } { 4 }"
18_em_24.bmp,"\frac { 7 5 2 9 5 3 6 } { 1 5 6 2 5 }"
18_em_2.bmp,"C _ { 1 } y _ { 1 } ^ { ( n - 1 ) } + C _ { 2 } y _ { 2 } ^ { ( n - 1 ) } + \ldots + C _ { n } y _ { n } ^ { ( n - 1 ) } = 0"
18_em_3.bmp,"q _ { 1 } , q _ { 2 } , \ldots , q _ { m }"
18_em_4.bmp,"e ^ { - n }"
18_em_5.bmp,"\int g = \lim _ { n \rightarrow \infty } \int g _ { n }"
18_em_6.bmp,"g ( b ) - g ( a ) = b - a"
18_em_7.bmp,"\sin ^ { 2 } \theta"
18_em_8.bmp,"x _ { L L L } \leq x _ { L L }"
18_em_9.bmp,"\frac { a } { b + \sqrt { c } }"
20_em_25.bmp,"\sin ( x + y ) = \sin x \cos y + \cos x \sin y"
20_em_26.bmp,"\frac { 9 } { 9 + \sqrt { 9 } }"
20_em_27.bmp,"R _ { o } = \frac { ( \frac { \beta + 1 } { \beta } ) r _ { e } + ( \beta + 2 + \frac { 2 } { \beta } ) r _ { o } } { 2 + \frac { 2 } { \beta } }"
20_em_28.bmp,"1 . 3 7 9 1 9 4 1 7 1"
20_em_29.bmp,"( - \infty , \infty )"
20_em_30.bmp,"I _ { S }"
20_em_31.bmp,"X X ^ { - 1 } = X ^ { - 1 } X = I"
20_em_32.bmp,"\frac { \pi } { 3 }"
20_em_33.bmp,"R _ { a } = \frac { R _ { 1 } R _ { 2 } + R _ { 2 } R _ { 3 } + R _ { 3 } R _ { 1 } } { R _ { 2 } }"
20_em_34.bmp,"\sin ( a + b )"
20_em_35.bmp,"\mu \geq 0"
20_em_36.bmp,"e _ { 5 } - 5 e _ { 4 }"
20_em_37.bmp,"\frac { 3 \times 3 ^ { 2 } } { 2 } + \frac { 5 \times ( - 5 ) ^ { 2 } } { 2 } = \frac { 3 \times v _ { 1 } ^ { 2 } } { 2 } + \frac { 5 \times v _ { 2 } ^ { 2 } } { 2 }"
20_em_38.bmp,"Y _ { t + 1 }"
20_em_39.bmp,"n ^ { 2 } + n - n"
20_em_40.bmp,"\sqrt { 4 x ^ { 5 } + x }"
20_em_41.bmp,"9 / 5"
20_em_42.bmp,"1 7"
20_em_43.bmp,"( 6 4 8 + 6 4 8 ) ^ { \frac { 1 } { 4 } } + 8"
20_em_44.bmp,"8 c m"
20_em_45.bmp,"\sqrt { C _ { n } }"
20_em_46.bmp,"\frac { d _ { 1 } - 2 } { d _ { 1 } } \frac { d _ { 2 } } { d _ { 2 } + 2 }"
20_em_47.bmp,"5 3 9 5"
20_em_48.bmp,"f ( 1 . 9 9 ) = 3 . 9 9 2 1 9 2 0 1"
20_em_49.bmp,"6 f t"
23_em_50.bmp,"d ^ { - 7 }"
23_em_51.bmp,"n = p _ { 1 } ^ { e _ { 1 } } p _ { 2 } ^ { e _ { 2 } } \ldots p _ { m } ^ { e _ { m } }"
23_em_52.bmp,"2 p"
23_em_53.bmp,"\frac { 1 } { 3 } + \frac { 1 } { 3 }"
23_em_54.bmp,"\beta _ { 0 } = 1 0 0 0"
23_em_55.bmp,"\sqrt { 1 1 3 }"
