image_name,"labels"
formulaire004-equation047.bmp,"f ( x ) = \sum _ { n = - \infty } ^ { \infty } a _ { n } = x ^ { \alpha _ { n } }"
formulaire026-equation071.bmp,"f ( x _ { 1 } ) \leq f ( x _ { 2 } )"
formulaire030-equation000.bmp,"1 5 4 + 1 3 \leq 1 6 7"
MfrDB2656.bmp,"\frac { 2 } { 4 }"
200924-1331-237.bmp,"i + F > j + x"
2009213-139-61.bmp,"k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9"
KME2G3_25_sub_22.bmp,"x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z"
MfrDB2212.bmp,"\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }"
formulaire019-equation006.bmp,"x y ^ { 2 } + e y = a x ^ { 3 } + b x ^ { 2 } + c x + d"
formulaire006-equation000.bmp,"4 4 \pm ( 8 - 1 4 2 - 4 8 ) \times ( 1 9 5 / 1 0 9 )"
formulaire032-equation021.bmp,"n = 1 5 0 0"
formulaire011-equation018.bmp,"x = \sqrt { r ^ { 2 } + a ^ { 2 } } \sin \theta \cos \phi"
formulaire020-equation056.bmp,"\frac { 1 } { 1 - x } = \sum _ { i = 0 } ^ { n } x ^ { i } + \frac { x ^ { n + 1 } } { 1 - x }"
formulaire008-equation011.bmp,"\frac { x ^ { 2 } + y ^ { 2 } } { a ^ { 2 } } - \frac { z ^ { 2 } } { c ^ { 2 } } - 1 = 0"
2009213-137-145.bmp,"8"
MfrDB2387.bmp,"( a ) ^ { - 1 } - 1"
MfrDB0225.bmp,"1 + 1 = 2"
2009213-139-16.bmp,"y"
formulaire015-equation027.bmp,"u ( \theta _ { 0 } , p ) = 0"
formulaire021-equation032.bmp,"a _ { i , j } = a _ { i - 1 , j + 1 }"
formulaire028-equation044.bmp,"d ^ { 3 } u"
2009212-952-29.bmp,"j"
200924-1331-158.bmp,"t"
formulaire017-equation016.bmp,"y = \frac { - 1 - 4 x } { 2 }"
200923-1254-52.bmp,"6 . 4"
MfrDB2094.bmp,"( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0"
2009212-952-30.bmp,"\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }"
KME2G3_27_sub_81.bmp,"\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y"
formulaire025-equation051.bmp,"e ^ { ( k ) }"
MfrDB0055.bmp,"\frac { 1 } { 2 } + \frac { 2 } { 3 } + \frac { 3 } { 4 } + \frac { 4 } { 5 } + \frac { 5 } { 6 }"
formulaire030-equation033.bmp,"\int d x"
formulaire014-equation037.bmp,"\frac { 1 } { 1 + x } = 1 - x + x ^ { 2 } - x ^ { 3 } + \ldots + ( - 1 ) ^ { n } x ^ { n } + o ( x ^ { n } )"
formulaire010-equation074.bmp,"( p _ { 1 } , q _ { 1 } ) \leq ( p _ { 2 } , q _ { 2 } )"
2009212-1031-39.bmp,"i ( [ 0 ] )"
MfrDB1405.bmp,"\frac { 1 } { 2 } x = 1 0"
2009212-1031-50.bmp,"\frac { [ t ] } { \sum P }"
200924-1331-22.bmp,"8 . 3"
200923-131-309.bmp,"f"
MfrDB1934.bmp,"\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }"
2009213-139-150.bmp,"z ^ { \cdots - h }"
formulaire023-equation074.bmp,"x = 1 0 + 0 , 7"
formulaire003-equation038.bmp,"x ^ { 5 } + d x ^ { 2 } + e x + f"
MfrDB1994.bmp,"\sum _ { m = 0 } ^ { M } \sum _ { n = 0 } ^ { N } a _ { m , n }"
formulaire020-equation036.bmp,"2 ^ { 6 0 }"
2009213-139-135.bmp,"S"
200924-1312-150.bmp,"\cdots - [ F ]"
formulaire007-equation023.bmp,"8 y _ { i + 1 }"
200924-1331-220.bmp,"t"
formulaire004-equation026.bmp,"3 n - 5"
200924-1331-253.bmp,"\sum G + j"
200922-1017-18.bmp,"a ^ { x } + b ^ { x } + \frac { c } { 2 }"
200923-1254-202.bmp,"y i"
formulaire003-equation030.bmp,"1 8 6 \pm 6 + 9 8 + 1 7 6 + 9 2"
MfrDB0987.bmp,"X = 1 + 4"
2009213-137-61.bmp,"k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9"
MfrDB2300.bmp,"\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }"
formulaire013-equation051.bmp,"k \leq 4"
2009213-139-95.bmp,"\gamma ^ { \sqrt { v } }"
formulaire028-equation073.bmp,"f = d ^ { 5 } a _ { 4 } + 5 b d ^ { 4 } a _ { 5 } = - 3 2"
2009213-139-116.bmp,"M + [ H ]"
formulaire018-equation018.bmp,"z - 2"
2009210-947-40.bmp,"7 2"
200922-1017-102.bmp,"z"
200924-1331-21.bmp,"d"
formulaire033-equation067.bmp,"2 m g l"
200923-1553-271.bmp,"\sqrt { Y }"
200926-1550-150.bmp,"\sqrt { p _ { z } }"
MfrDB1099.bmp,"3 + 1 = 4"
2009213-139-101.bmp,"k - a = h - f"
formulaire036-equation057.bmp,"a , b , c"
2009212-1031-63.bmp,"9"
formulaire002-equation033.bmp,"f ( x _ { \theta } )"
formulaire019-equation023.bmp,"( \frac { 1 } { 2 } a ) + \sqrt { ( \frac { 1 } { 4 } a a ) + ( b b ) }"
2009213-137-211.bmp,"u _ { \theta }"
KME1G3_4_sub_22.bmp,"\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt { \pi } } { 2 }"
200923-131-30.bmp,"\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }"
formulaire006-equation025.bmp,"1 8 9 \pm 1 5 9 \times ( 5 0 \times 9 9 )"
200923-1556-88.bmp,"[ y ]"
formulaire003-equation044.bmp,"h = l + m + n"
200926-1617-228.bmp,"3 3 . 5"
formulaire015-equation028.bmp,"X ^ { 3 } - X ^ { 2 } - 2 X + 1 = 0"
MfrDB1777.bmp,"V = a \cdot b \cdot c"
200923-131-202.bmp,"F l _ { X }"
200923-131-29.bmp,"8"
formulaire002-equation043.bmp,"y = \frac { 1 } { Y }"
MfrDB3048.bmp,"\lim _ { x \rightarrow c } f ( x ) = f ( c )"
200922-1017-24.bmp,"\int e ^ { - z ^ { 2 } } d z = e r f ( z )"
200923-1553-262.bmp,"x ^ { \frac { T } { g _ { E E } } }"
formulaire021-equation050.bmp,"( ( 1 2 6 \times 1 3 0 ) \times 1 6 2 ) \div ( 1 6 8 - 1 6 1 - 3 2 ) \neq - 1 1 5 4 2"
2009213-139-105.bmp,"j - o - 6 = 5 . 4"
200923-131-233.bmp,"N"
200926-1550-30.bmp,"\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }"
2009210-947-82.bmp,"N Y _ { I }"
2009212-1031-37.bmp,"\frac { R } { ( p ) }"
formulaire022-equation062.bmp,"u ( x - x _ { 0 } ) + v ( y - y _ { 0 } ) = 0"
formulaire025-equation050.bmp,"( ( 8 \div 1 3 0 ) \div ( 1 9 0 \times 1 2 ) ) \times ( ( 8 6 + 1 4 7 ) - ( 8 4 \div 0 ) ) \neq 2 1 4 7 4 8 3 6 4 7"
formulaire033-equation039.bmp,"p - 1 , p"
formulaire008-equation005.bmp,"2 0 + ( 9 6 \div 9 2 ) = 2 1 . 0 4"
200922-947-83.bmp,"\int ^ { H } _ { \sigma - n } 4 d g _ { j }"
MfrDB2883.bmp,"\int \limits _ { 0 } ^ { + \infty } x ^ { n } e ^ { - x } d x = n !"
200923-1253-255.bmp,"- o"
200926-1617-78.bmp,"\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }"
formulaire029-equation055.bmp,"3 6 \times 1 3 7 = 4 9 3 2"
129_Nina.bmp,"1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }"
formulaire030-equation004.bmp,"f ( y ) - f ( x ) = \int _ { x } ^ { y } g ( t ) d t"
65_daniel.bmp,"x = r \cos \theta"
200923-1254-326.bmp,"T ^ { c + L } ( m )"
MfrDB2429.bmp,"s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }"
200926-1617-72.bmp,"\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }"
MfrDB1899.bmp,"( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0"
MfrDB1629.bmp,"\sqrt [ 8 ] { \frac { x - 5 } { 3 - y } }"
MfrDB1301.bmp,"\sin \frac { \pi } { 4 } = \cos \frac { \pi } { 4 } = \frac { \sqrt { 2 } } { 2 }"
200926-1550-38.bmp,"\frac { 4 } { 3 } \pi r ^ { 3 }"
formulaire025-equation024.bmp,"1 - \cos ^ { 2 } x = ( 1 - \cos x ) ( 1 + \cos x )"
2009210-947-72.bmp,"\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }"
MfrDB1657.bmp,"y = x ^ { z }"
formulaire027-equation039.bmp,"n Y _ { 2 } ^ { ( n ) }"
MfrDB2291.bmp,"\frac { 5 x - 7 } { 3 } \leq 2 x + 5"
2009220-1327-66.bmp,"\frac { \sqrt { 1 + \cos ^ { 2 } ( \theta ) } } { 2 } = \cos ( 2 \theta )"
96_alfonso.bmp,"y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s"
200922-949-166.bmp,"- \pi"
formulaire018-equation064.bmp,"1 + \log _ { 3 } ( 2 )"
2009213-137-10.bmp,"m ^ { b }"
2009212-1031-55.bmp,"7 . 7 R"
MfrDB1088.bmp,"a ^ { 2 } + b ^ { 2 } = c ^ { 2 }"
formulaire023-equation052.bmp,"d ( p + 1 , 0 ) = 0"
formulaire038-equation009.bmp,"f ( s t ) = f ( t s )"
118_fujita.bmp,"P ( x ) = \sum _ { i = 0 } ^ { n } a _ { j } x ^ { j }"
2009210-947-137.bmp,"\tan h"
MfrDB2204.bmp,"a x + b < c"
formulaire021-equation054.bmp,"x ( t ) = x ( t - 1 )"
formulaire017-equation013.bmp,"y _ { 1 } ( x )"
200923-1253-24.bmp,"\int e ^ { - z ^ { 2 } } d z = e r f ( z )"
formulaire025-equation044.bmp,"( e _ { 1 } , \ldots , e _ { n } )"
formulaire030-equation026.bmp,"b _ { 1 3 }"
200923-1254-274.bmp,"\sum n"
200925-1126-184.bmp,"h"
200922-947-190.bmp,"\int \theta + F d n"
KME2G3_5_sub_35.bmp,"\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }"
MfrDB3085.bmp,"\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }"
MfrDB0079.bmp,"\lim _ { x \rightarrow a } \frac { f ( x ) } { g ( x ) } = \lim _ { x \rightarrow a } \frac { f ^ { ' } ( x ) } { g ^ { ' } ( x ) }"
200926-131-32.bmp,"a x ^ { 4 } + b x + c = 0"
200926-1617-163.bmp,"\alpha"
MfrDB1531.bmp,"\sqrt { x ^ { 2 } } = | x |"
94_Frank.bmp,"\frac { a } { \sin A } = \frac { b } { \sin B } = \frac { c } { \sin C }"
formulaire035-equation006.bmp,"( ( - 1 ) ^ { n } n )"
formulaire028-equation004.bmp,"g _ { i } ( x , y , z ) = 0"
MfrDB1289.bmp,"\lim _ { n \rightarrow \infty } x _ { n } = L"
formulaire028-equation051.bmp,"a = \frac { y } { x }"
formulaire022-equation045.bmp,"1 8 3 \times 9 9 \geq 1 8 1 1 6"
105_lucelia.bmp,"\frac { b ^ { 2 } c ^ { 2 } - 4 b ^ { 3 } d - 4 a c ^ { 3 } + 1 8 a b c d - 2 7 a ^ { 2 } d ^ { 2 } } { a ^ { 4 } }"
formulaire017-equation043.bmp,"a b + n c = 1"
200922-1017-65.bmp,"c _ { t }"
MfrDB2832.bmp,"\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }"
200923-1556-7.bmp,"\sum _ { m } f ( m + 3 )"
formulaire004-equation048.bmp,"c ( 0 ) = 1"
96_bruno.bmp,"y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s"
200924-1331-286.bmp,"B + j ^ { A }"
2009212-952-115.bmp,"H"
200923-131-276.bmp,"( - \int y _ { e } d a ) ^ { i }"
formulaire034-equation035.bmp,"1 1 7 \pm 8 5 \div 1 0 9"
200923-1254-242.bmp,"6"
200923-1251-135.bmp,"\sum E"
formulaire037-equation038.bmp,"2 \times e"
200923-1553-281.bmp,"( \sqrt { i } )"
200922-947-220.bmp,"0 . 1"
126_user0.bmp,"| x - \frac { p _ { n } } { q _ { n } } | \leq \frac { 1 } { q _ { n } q _ { n + 1 } } < \frac { 1 } { q _ { n } ^ { 2 } }"
200923-1254-198.bmp,"\cdots - z - \Delta"
KME2G3_6_sub_30.bmp,"\sum _ { i = 2 n + 3 m } ^ { 1 0 } i x"
2009213-137-83.bmp,"\cdots + q _ { L }"
formulaire006-equation036.bmp,"\cos ( 2 x ) = \cos ^ { 2 } ( x ) - \sin ^ { 2 } ( x )"
MfrDB1231.bmp,"\frac { 2 ^ { 5 } } { 3 + 1 }"
2009213-139-85.bmp,"\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }"
200924-1312-4.bmp,"V _ { V }"
MfrDB1534.bmp,"\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }"
KME2G3_18_sub_95.bmp,"\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }"
200922-947-135.bmp,"( r C )"
MfrDB1820.bmp,"V = a \cdot b \cdot c"
formulaire025-equation013.bmp,"\cos ^ { 2 } \phi + \sin ^ { 2 } \phi = 1"
2009213-139-79.bmp,"\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }"
formulaire021-equation031.bmp,"f ^ { ( n ) }"
2009213-139-56.bmp,"2 \alpha + 3 \sqrt { \beta }"
2009212-1031-0.bmp,"- u"
200922-947-107.bmp,"\sqrt { j }"
200924-1331-30.bmp,"\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }"
2009212-1031-87.bmp,"\frac { q } { n }"
2009212-1031-14.bmp,"X"
200924-1312-241.bmp,"X ^ { Y }"
MfrDB2856.bmp,"( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )"
KME2G3_11_sub_81.bmp,"\pi \int _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y"
2009213-139-138.bmp,"[ \frac { h } { E } ]"
96_rosario.bmp,"y = a S ( t ) = a \int _ { 0 } ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ { 2 } ) d s"
KME1G3_11_sub_21.bmp,"A = \sqrt { a + \frac { 1 } { \sqrt { a + \frac { 1 } { \sqrt { a } } } } } + \sqrt { b }"
2009213-139-13.bmp,"\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }"
formulaire007-equation048.bmp,"y _ { 1 } + y _ { 3 } = \sqrt { z _ { 2 } }"
200926-1550-73.bmp,"a ^ { b ^ { c ^ { d } } }"
130_jorge.bmp,"\frac { 1 } { 4 } + ( \frac { 1 } { 4 } ) ^ { 2 } + ( \frac { 1 } { 4 } ) ^ { 3 } + \cdots = \frac { 1 } { 3 }"
formulaire024-equation027.bmp,"t _ { 0 } = \frac { x _ { 0 } } { c }"
200922-949-207.bmp,"[ \frac { B } { 7 } ] ^ { N + 6 }"
MfrDB0024.bmp,"( x ^ { 2 } - 3 ) ^ { 4 } - 7 \cdot ( 8 ^ { 2 } - 3 ) ^ { 2 }"
formulaire018-equation001.bmp,"y _ { k } = f ( x _ { k + 1 } ) - f ( x _ { k } )"
200923-1253-197.bmp,"o ( \sum \gamma )"
MfrDB0464.bmp,"1 + 1"
formulaire032-equation020.bmp,"8 8 + 1 2 2 = 2 1 0"
formulaire021-equation023.bmp,"n _ { 1 } = 3"
200923-1251-201.bmp,"7 9"
200923-1553-289.bmp,"p p"
formulaire003-equation069.bmp,"0 = ( 0 , 0 , \ldots , 0 )"
200922-1017-1.bmp,"\int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ { 3 } + 1 4 } } d z"
MfrDB2286.bmp,"\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }"
200923-1556-60.bmp,"\frac { \beta + \gamma } { \theta }"
2009212-1031-61.bmp,"n v"
formulaire001-equation068.bmp,"Y = g ( X ) = \frac { 1 } { X }"
2009210-947-223.bmp,"u + u - V"
200923-1553-13.bmp,"\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }"
formulaire008-equation068.bmp,"n _ { x } ^ { 2 } + n _ { y } ^ { 2 } + n _ { z } ^ { 2 } = 1"
MfrDB2346.bmp,"\sin x = \sin ( x + 2 \pi k )"
formulaire015-equation065.bmp,"( 1 2 0 - 6 9 ) - ( ( 1 7 1 + 6 0 ) \times ( 2 4 / 9 7 ) ) \neq 0"
200923-1251-167.bmp,"F H"
formulaire007-equation017.bmp,"0 , 0 9 + i 0 , 1 2"
200923-1556-165.bmp,"- \theta - w ^ { N }"
formulaire032-equation063.bmp,"x = \frac { z - 3 } { - z - 3 } = \frac { 3 - z } { 3 + z }"
200923-1251-224.bmp,"f _ { z } ^ { q } ( j )"
formulaire024-equation061.bmp,"z _ { 1 } = 1 + \sqrt { 2 }"
200923-1556-3.bmp,"\sum s ^ { Y }"
MfrDB1200.bmp,"Y = A X ^ { 2 }"
formulaire035-equation051.bmp,"2 ^ { ( n - 1 ) }"
200923-1553-51.bmp,"( 9 )"
formulaire036-equation031.bmp,"a ^ { 2 k }"
formulaire028-equation071.bmp,"f ( x ) = \sqrt { x }"
200922-947-3.bmp,"\log v"
formulaire017-equation037.bmp,"u _ { p _ { i } , q _ { i } }"
200926-131-183.bmp,"0"
200926-131-165.bmp,"\sqrt { H } + g + c"
MfrDB1132.bmp,"h = \frac { 1 } { 2 } g t ^ { 2 }"
formulaire018-equation039.bmp,"p = a ( 1 - e ^ { 2 } )"
200922-1017-8.bmp,"\int \frac { \sin ( x ) + 1 } { \sqrt { \cos ^ { 3 } ( x ) + \tan ( x ) } } d x"
MfrDB1724.bmp,"E _ { k } = \frac { 1 } { 2 } m _ { 1 } v _ { 1 } ^ { 2 } + \frac { 1 } { 2 } m _ { 2 } v _ { 2 } ^ { 2 }"
MfrDB1516.bmp,"\sum _ { m = 0 } ^ { M } \sum _ { n = 0 } ^ { N } a _ { m , n }"
KME2G3_12_sub_22.bmp,"x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z"
